<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBER;0;20260413;082458;317.73;499
SBER;0;20260413;082501;317.73;1
SBER;0;20260413;082502;317.73;5
SBER;0;20260413;082508;317.72;32
SBER;0;20260413;082510;317.73;1
SBER;0;20260413;082511;317.73;1
SBER;0;20260413;082512;317.73;1
SBER;0;20260413;082514;317.73;1
SBER;0;20260413;082514;317.73;1
SBER;0;20260413;082519;317.72;60
SBER;0;20260413;082521;317.73;25
SBER;0;20260413;082521;317.73;5
SBER;0;20260413;082523;317.73;10
SBER;0;20260413;082528;317.73;10
SBER;0;20260413;082529;317.73;1
SBER;0;20260413;082530;317.73;1
SBER;0;20260413;082534;317.73;1
SBER;0;20260413;082536;317.73;1
SBER;0;20260413;082540;317.72;2
SBER;0;20260413;082541;317.73;1
SBER;0;20260413;082557;317.73;1
SBER;0;20260413;082559;317.73;300
SBER;0;20260413;082600;317.73;1
SBER;0;20260413;082605;317.73;2
SBER;0;20260413;082605;317.72;6
SBER;0;20260413;082605;317.72;50
SBER;0;20260413;082606;317.73;3
SBER;0;20260413;082613;317.73;1
SBER;0;20260413;082613;317.73;3
SBER;0;20260413;082620;317.73;4
SBER;0;20260413;082620;317.73;2
SBER;0;20260413;082622;317.72;19
SBER;0;20260413;082624;317.73;29
SBER;0;20260413;082626;317.72;44
SBER;0;20260413;082629;317.73;2
SBER;0;20260413;082634;317.72;35
SBER;0;20260413;082634;317.73;1
SBER;0;20260413;082641;317.73;1
SBER;0;20260413;082644;317.73;1
SBER;0;20260413;082645;317.73;50
SBER;0;20260413;082646;317.73;1
SBER;0;20260413;082647;317.72;20
SBER;0;20260413;082647;317.73;3
SBER;0;20260413;082649;317.73;1
SBER;0;20260413;082653;317.73;2
SBER;0;20260413;082655;317.73;1
SBER;0;20260413;082657;317.73;2
SBER;0;20260413;082701;317.73;43
SBER;0;20260413;082703;317.73;1
SBER;0;20260413;082703;317.73;24
SBER;0;20260413;082704;317.73;2
SBER;0;20260413;082707;317.73;5
SBER;0;20260413;082712;317.73;60
SBER;0;20260413;082712;317.73;1
SBER;0;20260413;082713;317.73;1
SBER;0;20260413;082714;317.73;85
SBER;0;20260413;082715;317.73;5
SBER;0;20260413;082716;317.73;5
SBER;0;20260413;082717;317.73;1
SBER;0;20260413;082718;317.72;156
SBER;0;20260413;082718;317.72;643
SBER;0;20260413;082718;317.72;2
SBER;0;20260413;082718;317.72;16
SBER;0;20260413;082718;317.72;133
SBER;0;20260413;082720;317.73;2
SBER;0;20260413;082725;317.72;1
SBER;0;20260413;082730;317.73;8
SBER;0;20260413;082730;317.73;4
SBER;0;20260413;082731;317.73;2
SBER;0;20260413;082739;317.73;1
SBER;0;20260413;082747;317.73;9
SBER;0;20260413;082748;317.73;1
SBER;0;20260413;082751;317.73;1
SBER;0;20260413;082752;317.73;3
SBER;0;20260413;082752;317.72;1
SBER;0;20260413;082755;317.72;2
SBER;0;20260413;082755;317.72;1
SBER;0;20260413;082756;317.73;1
SBER;0;20260413;082757;317.73;5
SBER;0;20260413;082801;317.73;35
SBER;0;20260413;082801;317.73;2
SBER;0;20260413;082808;317.73;1
SBER;0;20260413;082809;317.73;3
SBER;0;20260413;082809;317.73;9
SBER;0;20260413;082812;317.73;12
SBER;0;20260413;082812;317.73;3
SBER;0;20260413;082817;317.73;1
SBER;0;20260413;082819;317.73;1
SBER;0;20260413;082820;317.73;1
SBER;0;20260413;082826;317.73;1
SBER;0;20260413;082829;317.73;9
SBER;0;20260413;082829;317.72;6
SBER;0;20260413;082832;317.73;120
SBER;0;20260413;082834;317.72;9
SBER;0;20260413;082835;317.73;1
SBER;0;20260413;082836;317.72;1
SBER;0;20260413;082841;317.72;14
SBER;0;20260413;082845;317.73;2
SBER;0;20260413;082849;317.72;300
SBER;0;20260413;082855;317.72;6
SBER;0;20260413;082855;317.72;10
SBER;0;20260413;082858;317.72;1
SBER;0;20260413;082901;317.71;2
SBER;0;20260413;082901;317.71;5
SBER;0;20260413;082901;317.71;1
SBER;0;20260413;082901;317.71;1
SBER;0;20260413;082901;317.71;13
SBER;0;20260413;082901;317.71;10
SBER;0;20260413;082901;317.71;11
SBER;0;20260413;082901;317.71;12
SBER;0;20260413;082901;317.71;3
SBER;0;20260413;082901;317.71;3
SBER;0;20260413;082901;317.71;31
SBER;0;20260413;082901;317.71;6
SBER;0;20260413;082901;317.71;2
SBER;0;20260413;082902;317.72;13
SBER;0;20260413;082906;317.72;2
SBER;0;20260413;082909;317.72;1
SBER;0;20260413;082911;317.72;1
SBER;0;20260413;082914;317.72;2
SBER;0;20260413;082915;317.71;1
SBER;0;20260413;082920;317.71;1
SBER;0;20260413;082922;317.72;1
SBER;0;20260413;082925;317.72;3
SBER;0;20260413;082925;317.71;2
SBER;0;20260413;082925;317.71;1
SBER;0;20260413;082925;317.71;596
SBER;0;20260413;082925;317.71;33
SBER;0;20260413;082926;317.72;2
SBER;0;20260413;082933;317.72;8
SBER;0;20260413;082933;317.72;38
SBER;0;20260413;082934;317.71;1
SBER;0;20260413;082938;317.72;3
SBER;0;20260413;082940;317.71;1
SBER;0;20260413;082943;317.71;70
SBER;0;20260413;082944;317.7;7
SBER;0;20260413;082947;317.72;4
SBER;0;20260413;082948;317.73;3
SBER;0;20260413;082948;317.71;1
SBER;0;20260413;082949;317.71;20
SBER;0;20260413;082952;317.72;1
SBER;0;20260413;082952;317.72;1
SBER;0;20260413;082952;317.73;2
SBER;0;20260413;082954;317.72;2
SBER;0;20260413;082956;317.7;1
SBER;0;20260413;082957;317.73;100
SBER;0;20260413;082957;317.7;1
SBER;0;20260413;082957;317.73;1
SBER;0;20260413;082958;317.73;1
SBER;0;20260413;083002;317.73;10
SBER;0;20260413;083005;317.72;1
SBER;0;20260413;083005;317.72;80
SBER;0;20260413;083008;317.73;1
SBER;0;20260413;083009;317.73;1
SBER;0;20260413;083012;317.73;100
SBER;0;20260413;083013;317.73;3
SBER;0;20260413;083015;317.73;1
SBER;0;20260413;083019;317.73;10
SBER;0;20260413;083020;317.73;1
SBER;0;20260413;083020;317.73;1
SBER;0;20260413;083020;317.73;15
SBER;0;20260413;083023;317.72;4
SBER;0;20260413;083030;317.73;15
SBER;0;20260413;083038;317.72;1336
SBER;0;20260413;083038;317.72;12
SBER;0;20260413;083040;317.72;4
SBER;0;20260413;083046;317.72;2
SBER;0;20260413;083051;317.72;1
SBER;0;20260413;083053;317.71;1
SBER;0;20260413;083054;317.72;2
SBER;0;20260413;083055;317.71;6
SBER;0;20260413;083058;317.71;1
SBER;0;20260413;083058;317.71;15
SBER;0;20260413;083058;317.71;4
SBER;0;20260413;083058;317.71;1
SBER;0;20260413;083059;317.71;50
SBER;0;20260413;083102;317.71;108
SBER;0;20260413;083103;317.71;1
SBER;0;20260413;083105;317.7;3
SBER;0;20260413;083105;317.7;5
SBER;0;20260413;083106;317.71;2
SBER;0;20260413;083109;317.71;23
SBER;0;20260413;083110;317.71;1
SBER;0;20260413;083112;317.71;1
SBER;0;20260413;083112;317.71;15
SBER;0;20260413;083115;317.7;478
SBER;0;20260413;083116;317.71;10
SBER;0;20260413;083117;317.71;5
SBER;0;20260413;083117;317.71;15
SBER;0;20260413;083117;317.7;158
SBER;0;20260413;083119;317.7;2
SBER;0;20260413;083120;317.7;100
SBER;0;20260413;083121;317.71;46
SBER;0;20260413;083123;317.71;2
SBER;0;20260413;083124;317.71;37
SBER;0;20260413;083124;317.72;263
SBER;0;20260413;083129;317.7;1
SBER;0;20260413;083133;317.72;2
SBER;0;20260413;083133;317.72;3
SBER;0;20260413;083134;317.72;3
SBER;0;20260413;083142;317.72;1
SBER;0;20260413;083147;317.72;97
SBER;0;20260413;083147;317.72;569
SBER;0;20260413;083147;317.72;43
SBER;0;20260413;083147;317.72;10
SBER;0;20260413;083147;317.73;1101
SBER;0;20260413;083147;317.73;5
SBER;0;20260413;083147;317.73;1
SBER;0;20260413;083147;317.73;2
SBER;0;20260413;083147;317.73;1
SBER;0;20260413;083147;317.73;20
SBER;0;20260413;083147;317.73;2
SBER;0;20260413;083147;317.73;1
SBER;0;20260413;083147;317.73;850
SBER;0;20260413;083147;317.73;30
SBER;0;20260413;083147;317.73;4500
SBER;0;20260413;083147;317.73;100
SBER;0;20260413;083147;317.73;6
SBER;0;20260413;083147;317.73;15
SBER;0;20260413;083147;317.73;1
SBER;0;20260413;083147;317.73;1
SBER;0;20260413;083147;317.73;13
SBER;0;20260413;083147;317.73;1
SBER;0;20260413;083147;317.73;4
SBER;0;20260413;083152;317.74;1
SBER;0;20260413;083152;317.74;2
SBER;0;20260413;083155;317.73;3
SBER;0;20260413;083157;317.73;59
SBER;0;20260413;083158;317.73;4
SBER;0;20260413;083200;317.74;2
SBER;0;20260413;083200;317.74;435
SBER;0;20260413;083200;317.75;1
SBER;0;20260413;083201;317.74;345
SBER;0;20260413;083201;317.74;10
SBER;0;20260413;083202;317.75;1
SBER;0;20260413;083206;317.75;1
SBER;0;20260413;083211;317.74;12
SBER;0;20260413;083212;317.75;1
SBER;0;20260413;083212;317.75;996
SBER;0;20260413;083212;317.75;4
SBER;0;20260413;083213;317.75;4
SBER;0;20260413;083213;317.75;2
SBER;0;20260413;083216;317.75;30
SBER;0;20260413;083217;317.75;5
SBER;0;20260413;083218;317.75;1
SBER;0;20260413;083219;317.74;15
SBER;0;20260413;083222;317.74;2
SBER;0;20260413;083224;317.75;1
SBER;0;20260413;083224;317.75;53
SBER;0;20260413;083224;317.75;17
SBER;0;20260413;083226;317.79;1
SBER;0;20260413;083227;317.8;3
SBER;0;20260413;083227;317.8;15
SBER;0;20260413;083235;317.79;42
SBER;0;20260413;083236;317.8;225
SBER;0;20260413;083237;317.8;1
SBER;0;20260413;083238;317.8;18
SBER;0;20260413;083243;317.79;8
SBER;0;20260413;083243;317.79;31
SBER;0;20260413;083244;317.8;14
SBER;0;20260413;083247;317.8;1
SBER;0;20260413;083251;317.79;1
SBER;0;20260413;083253;317.8;1
SBER;0;20260413;083255;317.79;16
SBER;0;20260413;083256;317.8;1
SBER;0;20260413;083258;317.8;1
SBER;0;20260413;083301;317.8;5
SBER;0;20260413;083301;317.8;20
SBER;0;20260413;083303;317.8;1
SBER;0;20260413;083304;317.8;1
SBER;0;20260413;083309;317.8;1
SBER;0;20260413;083309;317.8;1
SBER;0;20260413;083313;317.8;300
SBER;0;20260413;083313;317.8;2
SBER;0;20260413;083314;317.8;5
SBER;0;20260413;083315;317.8;1
SBER;0;20260413;083316;317.8;17
SBER;0;20260413;083316;317.8;4
SBER;0;20260413;083318;317.8;1
SBER;0;20260413;083320;317.8;1
SBER;0;20260413;083324;317.79;304
SBER;0;20260413;083324;317.79;629
SBER;0;20260413;083324;317.79;401
SBER;0;20260413;083325;317.79;145
SBER;0;20260413;083328;317.8;20
SBER;0;20260413;083331;317.8;36
SBER;0;20260413;083334;317.8;1
SBER;0;20260413;083335;317.8;1
SBER;0;20260413;083338;317.8;4
SBER;0;20260413;083339;317.8;100
SBER;0;20260413;083340;317.8;1
SBER;0;20260413;083341;317.8;1
SBER;0;20260413;083342;317.79;19
SBER;0;20260413;083342;317.79;1
SBER;0;20260413;083342;317.79;10
SBER;0;20260413;083342;317.78;1
SBER;0;20260413;083342;317.78;1
SBER;0;20260413;083342;317.78;1
SBER;0;20260413;083342;317.77;59
SBER;0;20260413;083342;317.77;1
SBER;0;20260413;083342;317.76;112
SBER;0;20260413;083342;317.76;69
SBER;0;20260413;083345;317.77;1
SBER;0;20260413;083346;317.77;16
SBER;0;20260413;083346;317.77;14
SBER;0;20260413;083352;317.78;1
SBER;0;20260413;083354;317.8;204
SBER;0;20260413;083354;317.8;138
SBER;0;20260413;083354;317.8;499
SBER;0;20260413;083354;317.8;4
SBER;0;20260413;083354;317.8;227
SBER;0;20260413;083354;317.8;100
SBER;0;20260413;083358;317.8;18
SBER;0;20260413;083400;317.8;1
SBER;0;20260413;083402;317.81;1
SBER;0;20260413;083402;317.8;71
SBER;0;20260413;083403;317.81;12
SBER;0;20260413;083403;317.81;6
SBER;0;20260413;083406;317.8;3
SBER;0;20260413;083408;317.81;3
SBER;0;20260413;083411;317.81;1
SBER;0;20260413;083411;317.81;90
SBER;0;20260413;083411;317.82;15
SBER;0;20260413;083413;317.8;1
SBER;0;20260413;083416;317.82;1
SBER;0;20260413;083420;317.82;472
SBER;0;20260413;083420;317.82;512
SBER;0;20260413;083420;317.82;1
SBER;0;20260413;083420;317.82;1
SBER;0;20260413;083420;317.82;1
SBER;0;20260413;083420;317.82;100
SBER;0;20260413;083420;317.84;1000
SBER;0;20260413;083420;317.85;1
SBER;0;20260413;083420;317.85;50
SBER;0;20260413;083420;317.87;34
SBER;0;20260413;083420;317.87;300
SBER;0;20260413;083428;317.87;3
SBER;0;20260413;083428;317.84;13
SBER;0;20260413;083431;317.87;15
SBER;0;20260413;083431;317.81;15
SBER;0;20260413;083431;317.87;3
SBER;0;20260413;083432;317.87;1
SBER;0;20260413;083433;317.87;4
SBER;0;20260413;083434;317.82;1
SBER;0;20260413;083436;317.87;1
SBER;0;20260413;083439;317.8;13
SBER;0;20260413;083445;317.85;1
SBER;0;20260413;083445;317.82;1
SBER;0;20260413;083448;317.85;1
SBER;0;20260413;083449;317.83;3
SBER;0;20260413;083451;317.85;2
SBER;0;20260413;083458;317.85;6
SBER;0;20260413;083458;317.85;10
SBER;0;20260413;083500;317.86;9
SBER;0;20260413;083502;317.86;7
SBER;0;20260413;083503;317.85;30
SBER;0;20260413;083503;317.85;4
SBER;0;20260413;083505;317.86;14
SBER;0;20260413;083505;317.86;10
SBER;0;20260413;083505;317.86;65
SBER;0;20260413;083505;317.86;10
SBER;0;20260413;083505;317.87;10
SBER;0;20260413;083509;317.86;5
SBER;0;20260413;083509;317.86;3
SBER;0;20260413;083510;317.86;2
SBER;0;20260413;083510;317.87;63
SBER;0;20260413;083510;317.87;52
SBER;0;20260413;083510;317.87;10
SBER;0;20260413;083510;317.87;2
SBER;0;20260413;083510;317.87;10
SBER;0;20260413;083510;317.87;12
